Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/04/20,235,SMFDBP,42.04,415.0,415.0,415.0,415.0,415.00,0.0,0.0,415.00,"6,900.00",423.40,"2,863,500.00",1,-8.4,0.00,-1.98,0.0,0.0,561.00,415.00
2023/04/23,234,SMFDBP,42.14,406.7,406.7,406.7,406.7,406.70,0.0,0.0,406.70,"9,000.00",415.00,"3,660,300.00",1,-8.3,0.0,-2.0,0.0,0.0,561.00,406.70
2023/04/25,232,SMFDBP,42.8,398.6,398.6,398.6,398.6,398.60,0.0,0.0,398.60,"10,000.00",406.70,"3,986,000.00",1,-8.1,0.0,-1.99,0.0,0.0,561.00,398.60
2023/04/26,233,SMFDBP,42.14,390.7,390.7,390.7,390.7,390.70,0.0,0.0,390.70,"10,000.00",398.60,"3,907,000.00",1,-7.9,0.0,-1.98,0.0,0.0,561.00,390.70
2023/04/11,232,SMFDBP,25.08,432.0,432.0,432.0,432.0,432.00,0.0,0.0,432.00,"1,000.00",432.00,"432,000.00",1,0.00,0.00,0.0,0.0,0.0,561.00,432.00
2023/04/16,234,SMFDBP,23.98,432.0,432.0,432.0,432.0,432.00,0.0,0.0,432.00,"1,000.00",425.00,"432,000.00",1,7.0,0.0,1.65,0.0,0.0,561.00,425.00
2022/09/14,205,SMFDBP,34.36,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"2,000.00",561.00,"1,122,000.00",4,0.0,0.0,0.0,0.0,0.0,779.00,561.00
2022/09/15,210,SMFDBP,41.94,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"19,000.00",561.00,"10,659,000.00",15,0.0,0.0,0.0,0.0,0.0,779.00,561.00
2022/08/02,196,SMFDBP,40.09,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"5,000.00",561.00,"2,805,000.00",7,0.0,0.0,0.0,0.0,0.0,907.00,561.00
2022/06/07,214,SMFDBP,26.94,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"6,132.00",561.00,"3,440,052.00",1,0.0,0.0,0.0,0.0,0.0,907.00,561.00
2022/05/17,203,SMFDBP,26.54,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"2,504.00",561.00,"1,404,744.00",3,0.00,0.0,0.0,0.0,0.0,907.00,561.00
2022/05/18,209,SMFDBP,27.46,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"3,000.00",561.00,"1,683,000.00",1,0.0,0.0,0.0,0.0,0.0,907.00,561.00
2022/05/26,203,SMFDBP,27.78,561.0,561.0,561.0,561.0,561.00,0.0,0.0,561.00,"5,000.00",561.00,"2,805,000.00",6,0.0,0.0,0.0,0.0,0.0,907.00,561.00
2023/04/19,239,SMFDBP,35.81,423.4,423.4,423.4,423.4,423.40,0.0,0.0,423.40,"5,000.00",432.00,"2,117,000.00",2,-8.6,0.0,-1.99,0.0,0.0,561.00,423.40
2021/12/21,208,SMFDBP,30.59,779.0,779.0,779.0,779.0,779.00,0.0,0.0,779.00,"2,000.00",779.00,"1,558,000.00",1,0.0,0.00,0.0,0.0,0.0,907.00,680.00
2021/12/26,213,SMFDBP,33.39,779.0,779.0,779.0,779.0,779.00,0.0,0.0,779.00,"5,215.00",779.00,"4,062,485.00",11,0.00,0.00,0.0,0.0,0.0,907.00,680.00
2021/12/27,218,SMFDBP,37.96,779.0,779.0,779.0,779.0,779.00,0.0,0.0,779.00,"4,500.00",779.00,"3,505,500.00",9,0.0,0.00,0.0,0.0,0.0,907.00,680.00
2021/12/29,209,SMFDBP,38.54,764.0,764.0,764.0,764.0,764.00,0.0,0.0,764.00,"5,000.00",779.00,"3,820,000.00",1,-15.0,0.00,-1.93,0.0,0.0,907.00,680.00
2021/11/25,214,SMFDBP,62.94,779.0,779.0,779.0,779.0,779.00,0.0,0.0,779.00,"22,000.00",779.00,"17,138,000.00",10,0.0,0.0,0.0,0.0,0.0,907.00,680.00
